Index,Post,Trans,Label,Type
16001,"Військовослужбовці Національної гвардії України ліквідували диверсійно-розвідувальну групу противника поблизу одного із населених пунктів у районі проведення операції Об'єднаних сил.

Усіх диверсантів було знищено. Окупанти мали при собі гранати, міни, прилади спостереження.","Ukraine's National Guard's military has treated a version- intelligence team near one of the population centers in the United States.

All Divergents were destroyed. The invaders had grenades, mines, surveillance devices.",,
16002,"⚡""Використання росією хімічної зброї проти України кардинально змінить ситуацію і змусить НАТО серйозно задуматись."" - Анджей Дуда в інтерв'ю для BBC","• ""Using Russian chemical weapons against Ukraine will significantly change the situation and make NATO seriously think."" & gt; & gt; Andrzej Dod's interview for BBC",,
16003,"Змієві Вали XI століття за Білогородкою стали сюрпризом для російських окупантів, вони не змогли їх швидко подолати і спроба прориву була зупинена артилерією","I'm going to make the 12th century for the Biolets, surprise for the Russian invaders, they couldn't get over them fast and try a breakthrough was stopped artillery",,
16004,"Унаслідок обстрілу Яворівського полігону на Львівщині загинули 35 людей, 134 — травмовані, повідомив голова ОВА Максим Козицький.","As a result of the attack by Yavarov polygons, 35 people died on Lev, 134, injured, reported the head of Oliver Maxim Cozycki.",,
16005,Окупанти продовжують знищувати Чернігів,The invaders continue to destroy the Blackwater,,
16006,"**‼️Друзі, на цей раз шукаємо трохи масштабну допомогу - тепловізор**

❗️Нашим друзям з приірпіння (Київська обл) дуже необхідний якнайшвидше тепловізор, який допоможе у боях з рашистськими окупантами

💢🙏🏻Кожна ваша копійка буде величезним вкладом в цей дуже необхідний збір❗️

📩Також хто має інформацію про можливість дістати теж пишіть нам на наш бот - @newsDeepStatebot

📨Здійснити переказ ви можете через: 

📌сайт https://sites.google.com/view/deepstate-donate/main. Переказ здійснюється через сервіс portmone. Комісія близько 1%, але все йде через захищений протокол сервісу. (📌Тут ви можете слідкувати за звітами і бути впевненим, що ваші кошти пішли за відповідним спрямуванням) 

📌особистий рахунок 5168 7554 4437 4546 (Микула Р.) (❗️Вказуйте, будь ласка, призначення платежу)

🇺🇦**Наближаємо нашу Україну до перемоги разом!**","* * Guys, this time we're looking for a little bit of scale help -- a heat watch * * *.

kdegames Our friends from the euthanization (Kiev) are very necessary as quickly as the heat pattern to help the fighting with the wounded invaders.

KSpread Every penny will be a huge investment in this very essential collection

Also, who has the ability to get information on our boss -- @ newsDeepStatbot

You can change the transfer by:

https: / / sites.google.com / view / deepstatedonate / main. Transportation is carried out through the port service. The Commission is about 1%, but is responsible for the service protocol. (Note here you can track the reports and make sure your money has gone after that motion)

Synchronous account 5168 7554 437 4546 (Mikcal R.)

Bytes * * * We are approaching Ukraine to victory together",,
16007,"**🇦🇲Зрозуміло, що нам залишалося лише спостерігати як вірмени раділи бомбардуванням українських міст та чесали собі руки - через війну

**Проте, як ми й [писали](https://t.me/DeepStateUA/10416), Московія знімає свої сили з Карабаху для перекидання до нас. 

І тепер самі вірмени почали кричати про зраду. Господарі поїхали, а Азербайджан почав перекидати військо ближче до кордонів через місто Гянджа. 

Сьогодні Баку видавило вірменських солдат з висоти 1900 біля села Нахчіванлі.","* * It was clear that we were only supposed to observe the faithful radio bombing of Ukrainian cities and scratching our hands through war.

(Sighs) However, as we have written, (https: / / t.me / DeepStateUA / 10416), Moskowska is removing its strength from the Karaba to jump to us.

And now the faithful themselves began to cry about treason. The Masters were gone, and Azerbaijan began moving troops closer to the borders across the city of Janja.

Today, Buck has removed Armenian soldiers from the height of 1900 near the village of Nachchville.",,
16008,"**👀Порадьте тепловізор - який краще і де купити. Бажано поближче до Києва

**Наш бот - @newsdeepstatebot","* * * entrance Hit a thermal watch -- which is better and where to buy. It's closer to Kiev.

(Sighs) Our bot - @ newsdepstat",,
16009,67 бучанців ховають в братській могилі біля церкви. Дехто навіть не ідентифікаваний,67 tanks hide in a brotherly grave outside the church. Some people aren't even identified,,
16010,**🔴Всього в ешелоні 28 вагонів - 14 напіввагонів та 14 критих**,* * * entrance There are 14 seminars and 14 curves *,,
16011,"**⚡️Кадирівці вбили ранених росіян

**🔻 «Кадирівці» розстріляли 12 поранених російських військовослужбовців, повідомляє українська розвідка

🔻 Це сталося у тимчасово окупованій Бородянці на Київщині близько 16:00 12 березня","* * The Caribbean killed wounded Russians.

* * * The Cadres have shot 12 wounded Russian military officials, reports Ukrainian intelligence

Sync This happened in a temporarily occupied militant in Kiev, approximately 16: 00, 12 March",,
16012,🔴**Сьогодні ввечері зі станції Барановичі-Центральний у складі вантажного поїзда вирушила група вагонів (15 вагонів) із авіаційними бомбами. Станція призначення - Лунинець. Вночі буде вивантаження**,"Introduction * * * Today, in the evening, the Baronic Central Station has taken out a cargo train with a group of 15 wagons. Target Station - Luna. * * * upload tonight",,
16013,Втратив 'голову' від краси українських земель,Lost head of the beauty of Ukrainian lands,,
16014,"**🇧🇾Трупи московитів везуть в аеропорт, частину закопують

**З лікарів взято підписку про нерозголошення.

**__""Трупів було нереально багато! Люди, які були на станції Мозир, були просто в шоковому стані від кількості трупів, які завантажували в поїзд. Люди почали знімати відео, але до них причепилися військові та наказали видалити. У селі Кам'янка під Мозирем оточили цвинтар, нікого туди не пускають, виставили охорону. Можливо, що там почали ховати росіян. Тим більше, поруч із Кам'янкою аеродром і великий табір росіян"". 

__**Лікарня в Мозирі досі переповнена пораненими, всі лікарі, навіть вузькі фахівці, працюють з пораненими росіянами. Тим часом, місцеві жителі не можуть зробити тут рентген — їх направляють до дитячої лікарні.","* * Spitters take it to the airport, they bury it.

(Sighs) From the doctors, they subscribe of nondisclosure.

* * _ Troubles were impossible! The people who were at the Moscow station were just in shock from the number of corpses loaded on the train. People started to film the video, but the military was attached to it and told them to remove it. In the village of Camiri, they surrounded the cemetery, they wouldn't let anyone in, they sent security. Maybe they started hiding Russians. The more, near the Stone of Aeror and Great King of the Russians. ""

_ * The hospital in Moscow is still full of wounded, all doctors, even narrow professionals, working with wounded Russians. Meanwhile, the locals can't make an X-ray here -- they're headed to a children hospital.",,
16015,"**Підгузки хагіс еліт софт четвірка 132 шт
**🇺🇦-1030 грн
🐽- 7774 грн

Це ціна яндекс маркета, місцями ще можна знайти по старим цінам. І найцікавіше, що хагіси виробляються в Московії.","(Sighs) Hhaggis eft with a 4-32 stitches.
* * * lt's $1030
Prop - $774

It's the price of marketing, and you can still find it on old prices. And the interesting thing is that hackers are being produced in Mosconia.",,
16016,🎁У ССО новий трофей.,SSO has a new trophy.,,
16017,"Сьогодні близько 12 години дня ЗСУ збили ворожий літак в Ізюмському районі з ПЗРК ""Stinger"". Після ураження літак зміг долетіти до мордору і впав на території Бєлгородської області.","Today, about 12 hours of ZZZZZOU got hit by a enemy plane in the Zomanian area from the Stinger. After the crash, the plane was able to travel to Mordor and fall into the Beltown region.",,
