Index,Post,Trans,Label,Type
25001,"**Александр Коц ответит на вопросы подписчиков в прямом эфире

**Военкор KP.RU @sashakots с самого начала следил за ходом спецоперации на Украине. Он вел свои репортажи из самых горячих точек и рассказывал нам всю правду о том, что происходит в Незалежной. 

Легендарный военкор приехал в короткий отпуск в Россию и готов ответить на любые вопросы подписчиков «КП». 

Присоединяйтесь к нам завтра, в 10.00 (мск). Все будет [вот здесь](https://www.youtube.com/watch?v=sWP5uGCjoPE)",,,
25002,"**Умный Строитель стал самым популярным Telegram каналом про строительство и ремонт!**

Лайфхаки, строительные хитрости и куча другого полезного контента, которые помогут построить дом дешево и со вкусом.🔥

Советую подписаться 👉 [Умный Строитель](https://t.me/+ns16X2rDlMg0OTcy)",,,
25003,"Эта история холодит кровь.

Когда я писал интервью с  Виктором,военнослужащим ДНР , побывавшем в плену у зверей в человеческом обличии,у меня волосы дыбом вставали от тех ужасов которые пришлось пережить этому человеку. 

Виктор сам из Мариуполя.Когда в 2014 году случился переворот, он долго не выбирал сторону.Сразу переехал в Донецк и встал в ряды Народной милиции. В Мариуполе осталась мать. Как только наши войска зашли в город, Виктор рванул спасать мать. Так и попал в плен к морской пехоте Украины.

Из него пытались получить нужную информацию.Его пытали.Но когда нацисты поняли,что перед ними кремень,они попытались его убить.Избивая битами,ему пробили череп,переломали рёбра,раздробили руку,но он выжил. Затем один ублюдок предложил его просто зарезать.

И нелюдь с позывным«Саид»взял нож и хладнокровно нанёс Виктору шесть ударов.Когда он перестал дышать и эти уроды  поняли,что он мёртв,его выкинули на свалку. 

Но Виктору удалось выжить и даже посмотреть в глаза своему палачу,который позже попал к нам в плен.",,,
25004,"Российская артиллерия высокоточным боеприпасом «Краснополь» демилитаризирует САУ «Гвоздика» ВСУ НА Артемовском (Бахмутском) направлении. 

@sashakots",,,
25005,"✨ **Чичерину** пытались отменить, в итоге зал был битком. 

Как только известный московский клуб «16 тонн» объявил о выступлении группы ""Чичерина"" на своей сцене, тут же в комменты посыпалась масса хейта с призывами бойкотировать концерт. Было очень жарко, поэтому админы страницы были вынуждены строго модерировать общение под постом.

Патриотическая позиция Юли стала причиной нападок и на нее, и на музыкальную площадку. Однако, было больше тех, кто поддержал певицу.
В итоге зал был заполнен по максимуму. Зрители потом сожалели, что очень хотели танцевать, но было мало места. 

__«Спасибо клубу «16 тонн» за прекрасный вечер, спасибо всем кто был с нами, простите, что так тесно, но клуб неплохой - берём! Победа будет за нами, но враг внешний будет разбит только после того, как одолеем врага внутреннего, который открыто выступает против СВО и рулит мнением о музыкантах и шоу-бизнесе на Руси», - написала Чичерина в своем канале.

__Наш [telegram](https://t.me/+x7Vn0axfgs4xZTcy)",,,
25006,"Прошу обратить внимание на этот пост наших журналистов и лидеров общественного мнения. В американском штате Калифорния есть город Сакраменто с очень крупной русской диаспорой. Там есть организация «Русская библиотека и культурный центр». Руководители этой русской организации 10 июня проводят концерт в поддержку Украины. Анонс концерта [размещён на их странице](https://www.facebook.com/permalink.php?story_fbid=4910666162384586&id=482361351881778&__cft__[0]=AZXtV8EAvDXAOSukHTJg7DG9DC-n27qp5gTB8pa478e3gWCwOqouIg5e-Mp9wAhAqJ25qj3GqA_UPg2Lm8YWhUVdh0X1_S050xy48vxxGCBVLAaiHwjQsi5Lv6YZBZ1GgnfAHwHAXWy-jwxrNSrNYItz3hVtgsVQmJ-8C_8SzxrBYTzIM0lJEsyfVm2CL9i0vhY&__tn__=%2CO%2CP-R) в ФБ.

Думаю, на подобные антирусские инициативы стоит обратить внимание. Ведь, придёт время, когда те, кто это организовывал, как и те, кто в этом участвовал, захотят вернуться в Россию.    

@NeoficialniyBeZsonoV",,,
25007,"9-летний Даниил Булаев жил вместе с родителями и младшей сестрой в Горловке. Занимался спортом, старался быть защитником для маленькой Сонечки. 

14 ноября 2014-го вся семья Дани погибла, когда их дом попал под обстрел ВСУ. Даже хоронить семью Булаевых пришлось под обстрелом…

[Подробнее](https://alleyaangelov.ru/)",,,
25008,"Из [эфира](https://www.kp.ru/daily/27399/4596563/) с @mardanaka по итогам первого этапа ~~спецоперации~~ моей командировки.

- Лисичанск для обороны очень удобен, он на возвышенности, с него видны подходы со всех трех сторон, откуда сейчас наступают русские. В 2014-м Этот город держали ополченцы батальона «Призрак» Алексея Мозгового, и украинцы его взять не смогли. Мозговой оставил Лисичанск уже после того, как Стрелков ушел из Славянска и бессмысленно стало город оборонять.

- Где украинские войска будут биться на Донбассе до последнего?

- Красиво было бы в Славянске - там, где началась «русская весна» 8 лет назад. Там и закончить освобождение Донбасса. Но пока сложно об этом говорить, еще непонятно, как дела под Донецком. Чтобы брать в клещи Славянск, на него надо заходить сразу с трех сторон. С северо-запада - это изюмская группировка, в которой я провел около месяца. Там продвижение идет тяжело. Противодействие нам серьезное.

С востока на Славянск идут войска нашего Центрального военного округа, которые уже взяли Красный Лиман.

А с юга должна пойти группировка, которая высвободилась после битвы за Мариуполь.

Но это на карте можно легко нарисовать стрелочки. А что значит в реальности «с юга»? Это сначала надо брать Авдеевку - мощнейший укрепрайон под Донецком. За ним идет эшелонированная оборона вдоль трассы на Славянск - это Константиновка, Дружковка.

Мне кажется, что украинские войска на Донбассе будут все равно откатываться именно в Славянск с Краматорском. И там будет решающая битва.

@sashakots",,,
25009,"Вокруг СВО развернута настоящая информационная война. Огромное количество фейков и дезинформации требуют от нас осмотрительности при выборе источников новостей.

Поэтому рекомендую подписаться на [канал Вячеслава Володина](https://t.me/vv_volodin), где самый высокопоставленный политик телеграма делится собственным мнением о ходе спецоперации и анализирует действия запада.

Переходите и подписывайтесь 👉 @vv_volodin",,,
25010,"Украине не хватает оружия для противостояния России, жалуется замминистра обороны Анна Маляр.

""Запад должен понять, что это не разовая помощь. Поставки оружия должны продолжаться до победы. Наши бойцы хорошо подготовлены. Но этой мотивации и подготовки недостаточно, чтобы победить Россию без оружия"".

Интересно, она реально живет в той параллельной реальности, где ее бойцы хорошо подготовлены и мотивированы. Она видела это множество роликов, на которых ее подчиненные отказываются выполнять боевые задачи. 

О какой подготовке можно говорить после трехдневных курсов, по результатам которых вчерашних селюков бросают с голой жопой на танки. И единственное желание, которое у них возникает - это сдаться в плен при первой возможности.

@sashakots",,,
25011,"Украинский спецпропагандист Юра Бутусов, которому запретили находиться на армейских позициях за слив информации противнику, подтверждает информацию российской стороны о ситуации в Северодонецке.

Обвинив украинские власти во вранье, он сообщил, что два дня назад противник вышел на окраину города (пройдя, соответственно, весь город). 

«Сейчас наши войска обороняют промзону Северодонецка и близлежащий к нему квартал. Вызывает беспокойство регулярное сообщение желаемого вместо действительного.  Чтобы одерживать реальные победы, нужно не создавать воздушные замки».

Ну… это не 50 процентов города, как говорил Гайдай. Спасибо, Юра, за объективный контроль.

@sashakots",,,
25012,"Во-первых, это красиво. **Кадры боевых вылетов экипажей истребителей-бомбардировщиков Су-34**

@sashakots",,,
25013,"Еще последствия ударов по Дарницкому вагоноремонтному заводу, на котором боевая техника готовилась к отправке на фронт. Откалиброван ВС РФ.

@sashakots",,,
25014,"Короткая экскурсия по одному из цехов «Азовстали». Пришла мысль: а зачем все это сносить, если можно сдавать комбинат в аренду кинокомпаниям? Таких шикарных декораций для съемки фильмов на тему постапокалипсиса в мире больше нет.",,,
25015,"«Зашел товарищ, говорит: «Пошли, пленного зае..м» Я зашел, нанес ему шесть ножевых ранений и вышел. Тело вынесли на вторые сутки, сказали, что он мертв – Посмотри направо. Вспоминаешь? – Вспоминаю – Ну Бог тебе судья - Это ты его резал? - Да»: Убийца-морпех ВСУ встречается со своей жертвой.
Сюжет шолоховского уровня.",,,
25016,"Сегодня, в районе Северодонецка наши задвухсотили комбата 24 бригады ВСУ.

@NeoficialniyBeZsonoV",,,
25017,"Последствия прилета по Дарницкому вагоноремонтному заводу, который переоборудовали под ремонт техники и подготовки польских танков к отправке на фронт. Не доехали.

@sashakots",,,
25018,"Ура! Канал [СОБАКЕН](https://t.me/+n0gwj-JHceEwNTli) теперь и в телеграме!

Очень смешной канал с собаками 😂😂зайдешь и не оторвешься

**Рекомендуем подписаться! **👉 [@sobake_n](https://t.me/+n0gwj-JHceEwNTli)",,,
25019,"**БРАТИШКАМ В ХЕРСОНЩИНЕ НУЖНЫ БУХАНОЧКИ Z И КОПТЕРЫ!

Мичман открывает Второй военно-гуманитарный сбор. Нашим братьям с Херсонщины нужна техника: 
**- 2-4 Буханочки Z (подержанные, это расходник);
- 4 пташки DJI Mini;
- 2 пташки DJI Mavic 2/3;
- 2 бронежилета и пластины; 
- 1 легковой автомобиль для детской больницы Херсона. Лучше отечественный (Калина или Гранта); 
- 10 ноутбуков или компьютеров для добрых русских людей из Скадовска.

Ранее [Первый гуманитарный сбор](https://t.me/rusfleet/4849) Мичмана позволил [обеспечить](https://t.me/rusfleet/4854) Херсонскую детскую больницу медикаментами и лекарствами на 3 месяца. К нам подключились питерский машиностроительный завод и крупные военные каналы, все задачи сбора выполнены. 

КАК И В ПРОШЛЫЙ РАЗ, ВСЁ ДОСТАВЛЮ ЛИЧНО. ОТЧИТАЮСЬ.

**Перечислять средства просим на эту карту Сбера:
**4817760349942767
Виктория

**Резервная карта Сбера:
**4276550057070792
Дмитрий 

**P.S. 
**В канале не было и не будет рекламы.

**P.P.S.
**Если у Вас есть что-то из списка - пускай подержанное, но рабочее - заберём в Питере или в Крыму. Пишите @flotskiy.",,,
25020,Выполнили задачу по овладению указанными рубежами.,,,
25021,"По данным ряда источников в полиции Харькова, Дудин был не только слишком сильной для Зеленского фигурой в регионе, но и лично неудобным как для подчинённых, так и для других силовиков. ""Дудин же, неожиданно для себя оказавшийся за бортом, уже начал публиковать накопившийся компромат на других силовиков региона и, в первую очередь, на своего более успешного конкурента за место под солнцем Тимошко, главу полиции города"", - процитировал собеседник агентства свои источники.


https://ria.ru/20220605/ukraina-1793263849.html",,,
25022,"Легкий оффтоп для разгрузки мозгов и ради хорошего настроения. Еще больше веселья – в канале GoBro! Иногда надо на что-то отвлечься, развлечься и просто посмеяться/улыбнуться. Весьма полезно в наше нелегкое время.

Не забудьте подписаться на канал. Там много подобного веселого видео. Да и не только видео. Обязательно делитесь с друзьями!

https://t.me/sportkp_canal/3184",,,
25023,"Для жильцов 32-й квартиры на верхнем 5-м этаже дома 9 по Школьному бульвару 4 июня стало вторым днем рождения. 

Отец семейства находился в спальне. Его жена с дочкой - в ванной комнате. Реактивный снаряд угодил в крышу и обрушил потолок над кухней. Мать уже поставила на плиту воду для пельменей, отошла на минуту к дочери в ванную. Только собралась обратно на кухню и вдруг - прилет.

Дверь в ванную завалило. Отец бросился разгребать завал голыми руками, срывая ногти. Вытащил своих, схватил жену и дочь в охапку и бросился на улицу. Ему показалось, что снаряд не сдетонировал, и может рвануть в любую минуту внутри квартиры",,,
25024,"На место обстрела в Ворошиловский район Донецка приехал фактически вместе с пожарниками.
Героические пацаны - наши донецкие МЧСники...

Вместе тушили, вытаскивали раненных, эвакуировали людей, оценивали ущерб и предотвращали панику...

Скорые тоже подоспели вовремя...

Снимал мало, было чем заняться. Пригодились носилки, которые постоянно вожу в машине.

Одну семью со Школьного бульвара, д.9, кв.32 вывезли к друзьям.
Семья чудом уцелела. Только приехали из Таганрога. Мама мыла дочке ноги в ванной. Отец был в спальной комнате. Град прилетел и пробил потолок кухни.
Собиралась после дороги поужинать. На газовой плите грелась вода для пельменей...

Вся семья получила контузию.

Слава Господу! Обошлось без смертей...",,,
25025,"Где-то нас всё же встречают хлебом и солью. Славянский фронт.

@gonzoop",,,
25026,"Это прямо самый центр Донецка

@MakarenkoLive",,,
25027,Снова на задачу. Ребята из группы V подвезли с ветерком...,,,
